bboalert,2,ler
2D--2H--,3D,short !S | 5!d4!H3!D1!S
2D--2H--,3H,short !S | 6!D4!H2!d1!S
2D--2H--,3S,short !S | 6!D3!h3!c1!S or 7!d3!H2!D1!S
2D--,2N,Transfer to 3!C's
2D--2N--,3C,Relay
2D--2N--3C--,3D,5+!S's-5+!H's | GF
2D--2N--3C--,3H,6+!H's | GF
2D--2N--3C--3H--,3N,4!h-1!d
2D--2N--3C--,3S,6+!s's | GF
2D--2N--3C--3S--,3N,4!S-1!d
2D--2N--3C--,4C,6+!c's | GF
2D--,2S,5+(!H/!S)-4+(!h/!s) | 10-12 HCP
2D--2S--,2N,interest in a major contract
2D--2S--2N--,3C,5!h4!S
2D--2S--2N--,3D,5!s4!H
2D--2S--2N--,3H,5!h5!S
2D--,3C,6+!C's | 10-12 HCP
2D--,3D,To Play
2D--,3H,6+!h's | 9-12 HCP
2D--,3S,6+!S's | 9-12 HCP
,2H,5+!H's | 10-13 HCP unbalanced hands or 6+!h's | maybe balanced
2H--,2N,5+!S's | invitational or a stronger hand
2H--2N--,3C,5!H-4+!C | minimum hand
2H--2N--,3D,5!H-4+!d | minimum hand
2H--2N--,3H,6+!H's | minimum hand
2H--2N--,3N,(1/2)!S | maximum hand
2H--2N--,3S,2+!S's | minimum hand
2H--2N--,4C,5!h4!D3!S1!C or 6!H3!S3!D1!C
2H--2N--,4D,5!h4!c3!S1!d or 6!H3!S3!c1!d
2H--2N--,4H,6!h2!S32 | PASS/CORRECT to !S
2H--,2S,Ask about hand | invitation or a stronger hand
2H--2S--,2N,6+!H's | may have shortage
2H--2S--2N--,3C,ask about shortage
2H--2S--2N--3C--,3D,short !D
2H--2S--2N--3C--,3H,no shortage
2H--2S--2N--3C--,3N,short !c
2H--2S--2N--3C--,3S,short !s
2H--2S--2N--,3D,asking about cues on !H's
2H--2S--2N--,3H,invitation for game
2H--2S--,3C,5!h-4+!C's
2H--2S--3C--,3D,further asking about distribution
2H--2S--3C--3D--,3H,5!H-5!C
2H--2S--3C--3D--,3N,5!H4!c3!d1!s
2H--2S--3C--3D--,3S,5!H4!c3!S1!D
2H--2S--,3D,5!H-4!D
2H--2S--3D--,3H,further asking about distribution
2H--2S--3D--3H--,3N,5!h4!d3!c1!s
2H--2S--3D--3H--,3S,5!h4!d3!s1!C
2H--2S--,3H,5!H-5!D
2H--,3C,5+!C's | invitation or a stronger hand
2H--3C--,3D,GF with 13-14  HCP
2H--3C--,3H,no interest in game
2H--3C--,3N,To Play
2H--3C--,3S,ask for control in !S
2H--3C--,4C,Accept invitation in !C's
2H--,3D,5+!d's | invitation or a stronger hand
2H--3D--,3H,no interest in game
2H--3D--,3N,To Play
2H--3D--,3S,ask for control in !S
2H--3D--,4C,GF with 13-14  HCP
2H--3D--,4D,Accept invitation in !d's
2H--,3H,weak hand
2H--,3S,4+!H's | short !S
2H--,4C,4+!H's | short !c
2H--,4D,4+!H's | short !d
2H--,4H,To Play
,2S,5+!S's | 10-13 HCP unbalanced hans or 6+!S's | maybe balanced
2S--,2N,Ask about hand | invitation or a stronger hand
2S--2N--,3C,5!s-4+!C's
2S--2N--3C--,3D,further asking about distribution
2S--2N--3C--3D--,3H,5!s-5!C
2S--2N--3C--3D--,3N,5!s4!c3!d1!h
2S--2N--3C--3D--,3S,5!s4!c3!h1!D
2S--2N--,3D,5!s-4!D
2S--2N--3D--,3H,further asking about distribution
2S--2N--3D--3H--,3N,5!s4!d3!c1!h
2S--2N--3D--3H--,3S,5!s4!d3!h1!C
2S--2N--,3H,5!s-5!D
2S--2N--,3N,6+!s's | maximum hand
2S--2N--,3S,6+!s's | minimum hand
2S--,3C,5+!h's | invitational or a stronger hand
2S--3C--,3D,5!S431!H | minimum hand
2S--3C--,3H,2+!h's | minimum hand
2S--3C--,3N,(1/2)!H | maximum hand
2S--3C--,3S,6!S's | minimum hand
2S--3C--,4C,5!s4!D3!h1!C or 6!s3!h3!D1!C
2S--3C--,4D,5!s4!c3!h1!d or 6!s3!h3!c1!d
2S--3C--,4H,6!s2!h32 | PASS/CORRECT to !S
2S--,3D,5+!d's | invitation or a stronger hand
2S--3D--,3H,ask for control in !h
2S--3D--,3N,To Play
2S--3D--,3S,no interest in game
2S--3D--,4C,5!S-4+!C | GF with 13-14  HCP
2S--3D--,4D,Accept invitation in !d's
2S--,3H,5+!C's | invitation or a stronger hand
,3N,Solid Majör
3N--,4C,bid slam with !D control
3N--,4D,bid slam with !C control
3N--,4H,PASS / CORRECT TO 4!s
3N--,4N,bid slam with 8 pieces
3N--,4S,bid slam if short in the other major suit
,4C,8+!h's | 12-15 HCP
,4D,8+!S's | 12-15 HCP
Option,Opening_@1@2
,4H,Long Weak !H's
,4S,Long Weak !s's
Option

